,cluster,Cai,distancia,tiempo,CriminalidadLocalidad
13627,125.0,Cai Samper Mendoza ,3.6 km,8,2.878816391520804
13672,114.0,Cai Chile ,1.4 km,6,13.811828262289291
13678,114.0,Cai El Virrey ,1.9 km,8,13.811828262289291
13680,114.0,Cai Rosales ,1.6 km,6,13.811828262289291
13685,114.0,Cai Chapinero ,1.8 km,8,13.811828262289291
13686,114.0,Cai Oxy ,1.0 km,5,13.811828262289291
13909,135.0,Cai Caldas ,1.9 km,7,15.525693658555944
13925,135.0,Cai Castilla ,0.4 km,2,15.525693658555944
14032,89.0,Cai Veinte De Julio ,2.0 km,7,1.5016567730358827
14040,89.0,Cai Las Cruces ,1.4 km,7,1.5016567730358827
14050,89.0,Cai Distrital ,0.7 km,4,1.5016567730358827
14150,89.0,Cai Restrepo ,1.4 km,6,1.5016567730358827
14152,89.0,Cai Ciudad Berna ,0.8 km,3,1.5016567730358827
14219,146.0,Cai Bello Horizonte ,1.5 km,4,2.4853124012353445
14221,146.0,Cai Guacamayas ,1.8 km,6,2.4853124012353445
14224,146.0,Cai Veinte De Julio ,1.7 km,6,2.4853124012353445
14344,146.0,Cai Lomas ,1.8 km,6,2.4853124012353445
14364,240.0,Estación Chapinero ,2.3 km,8,2.878816391520804
14477,240.0,Cai Galerias ,1.4 km,8,2.878816391520804
14483,240.0,Estación Teusaquillo ,1.8 km,8,2.878816391520804
14687,196.0,Estación Ciudad Bolívar ,2.8 km,8,4.557375710240918
14704,196.0,Cai Santo Domingo ,0.8 km,3,4.557375710240918
14841,49.0,Cai Samper Mendoza ,2.7 km,7,7.945104748270014
15023,50.0,Cai Los Molinos ,0.6 km,3,3.9049283849637786
15033,50.0,Cai Dianaturbay ,2.6 km,8,3.9049283849637786
15042,50.0,Cai Palermo Sur ,2.6 km,8,3.9049283849637786
15055,52.0,Cai Codito ,2.1 km,7,4.601013191631184
15058,52.0,Cai Verbenal ,2.3 km,8,4.601013191631184
15277,53.0,Cai Villa Del Rio ,2.9 km,6,15.525693658555944
15288,53.0,Cai Socorro ,2.4 km,8,15.525693658555944
15295,53.0,Cai Delicias ,1.8 km,6,15.525693658555944
15303,53.0,Cai Timiza ,0.8 km,2,15.525693658555944
15508,55.0,Cai Villa Del Prado ,1.1 km,6,10.23806100125259
15737,165.0,Cai Perdomo ,2.5 km,8,4.557375710240918
15739,165.0,Cai Santo Domingo ,0.7 km,3,4.557375710240918
15816,56.0,Cai Granjas ,1.2 km,5,2.9593243387289996
15820,56.0,Cai Modelia ,3.5 km,8,2.9593243387289996
15881,56.0,Cai Puente Aranda ,2.0 km,8,2.9593243387289996
15938,180.0,Estación San Cristóbal ,2.2 km,7,3.9049283849637786
15942,180.0,Cai Veinte De Julio ,1.3 km,5,3.9049283849637786
15945,180.0,Cai Distrital ,2.7 km,8,3.9049283849637786
16046,180.0,Cai Restrepo ,1.5 km,7,3.9049283849637786
16048,180.0,Cai Valvanera ,1.7 km,7,3.9049283849637786
16053,180.0,Estación Antonio Nariño ,1.4 km,5,3.9049283849637786
16057,180.0,Cai Ciudad Berna ,1.3 km,5,3.9049283849637786
16061,180.0,Cai Centenario ,1.7 km,8,3.9049283849637786
16069,180.0,Estación Rafael Uribe ,2.0 km,8,3.9049283849637786
16077,180.0,Cai San Jorge ,1.7 km,8,3.9049283849637786
16082,180.0,Cai Gustavo Restrepo ,1.7 km,8,3.9049283849637786
16185,57.0,Cai Engativá ,2.0 km,7,7.220870423971701
16196,57.0,Cai Villas De Granada ,1.8 km,7,7.220870423971701
16202,57.0,Cai Jaboque ,0.6 km,3,7.220870423971701
16261,252.0,Cai Chile ,2.0 km,8,2.878816391520804
16264,252.0,Cai Lourdes ,0.6 km,3,2.878816391520804
16266,252.0,Cai Granada ,1.6 km,8,2.878816391520804
16276,252.0,Cai Chapinero ,2.1 km,8,2.878816391520804
16382,252.0,Cai Siete De Agosto ,2.3 km,8,2.878816391520804
16385,252.0,Cai San Luis ,1.0 km,5,2.878816391520804
16423,200.0,Cai Navarra ,3.0 km,5,1.1679465651794496
16454,200.0,Cai Estadero ,2.7 km,8,1.1679465651794496
16548,200.0,Cai Alcanzares ,1.8 km,7,1.1679465651794496
16550,200.0,Cai Polo Club ,0.3 km,2,1.1679465651794496
16552,200.0,Cai Rio Negro ,2.8 km,8,1.1679465651794496
16682,58.0,Cai Castilla ,0.8 km,3,15.525693658555944
